DPTO;DISTRITO;ZONA;LOCAL;DESCRIP;KEYDDZL;N_DESCRI
0;0;5;30;ESC.260 NTRA.S. DE LA ASUNCION;0 0 5 30;30 - ESC.260 NTRA.S. DE LA ASUNCION
0;0;5;23;ESC.SUB. JOSE MARIA B. LASALLE;0 0 5 23;23 - ESC.SUB. JOSE MARIA B. LASALLE
0;0;4;29;COL. VERBO DIVINO;0 0 4 29;29 - COL. VERBO DIVINO
0;0;5;5;LIC.SANTISIMA TRINIDAD;0 0 5  5;5 - LIC.SANTISIMA TRINIDAD
0;0;5;29;CENTRO EDUC. SAN I. DE LOYOLA;0 0 5 29;29 - CENTRO EDUC. SAN I. DE LOYOLA
0;0;5;38;SERV.NAC.DE PROMOCION PROMOCIONAL-SNPP;0 0 5 38;38 - SERV.NAC.DE PROMOCION PROMOCIONAL-SNPP
0;0;5;39;COMPLEJO EDUC. MARIA AUXILIADORA;0 0 5 39;39 - COMPLEJO EDUC. MARIA AUXILIADORA
0;0;5;28;COL. TECNICO JAVIER;0 0 5 28;28 - COL. TECNICO JAVIER
0;0;5;31;ESC. GETSEMANI;0 0 5 31;31 - ESC. GETSEMANI
0;0;5;32;ESC. CARLOS ANTONIO LOPEZ;0 0 5 32;32 - ESC. CARLOS ANTONIO LOPEZ
0;0;5;33;COL.PRIV.SAGRADOS CORAZONES;0 0 5 33;33 - COL.PRIV.SAGRADOS CORAZONES
0;0;5;35;COL.NAC.VICENTE MONGELOS;0 0 5 35;35 - COL.NAC.VICENTE MONGELOS
0;0;6;1;ESC. NAC. MAURICIO JOSE TROCHE;0 0 6  1;1 - ESC. NAC. MAURICIO JOSE TROCHE
0;0;6;2;ESC. NAC. SAN FRANCISCO;0 0 6  2;2 - ESC. NAC. SAN FRANCISCO
0;0;6;3;ESC. NAC. SAN PEDRO;0 0 6  3;3 - ESC. NAC. SAN PEDRO
0;0;6;4;COL. NAC. LAS RESIDENTAS;0 0 6  4;4 - COL. NAC. LAS RESIDENTAS
0;0;5;27;I.N.T.N.;0 0 5 27;27 - I.N.T.N.
0;0;5;10;COL.PRIV.AMERICANO DE ASUNCION;0 0 5 10;10 - COL.PRIV.AMERICANO DE ASUNCION
0;0;5;13;COL. PRIV. ALEMAN CONCORDIA;0 0 5 13;13 - COL. PRIV. ALEMAN CONCORDIA
0;0;5;15;COL.TEC. DE LAS AMERICAS/COL.PRIV.JUAN PABLO II;0 0 5 15;15 - COL.TEC. DE LAS AMERICAS/COL.PRIV.JUAN PABLO II
0;0;5;17;ESC.NAC. PROF. SILVIA MIRANDA;0 0 5 17;17 - ESC.NAC. PROF. SILVIA MIRANDA
0;0;5;19;ESC.1ER.PTE.CONST.DEL PARAGUAY;0 0 5 19;19 - ESC.1ER.PTE.CONST.DEL PARAGUAY
0;0;5;21;ESC.NAC.CENTEN.DE LA EPOP.NAC.;0 0 5 21;21 - ESC.NAC.CENTEN.DE LA EPOP.NAC.
0;0;5;24;ESC. SAN VICENTE DE PAUL;0 0 5 24;24 - ESC. SAN VICENTE DE PAUL
0;0;5;25;ESC. ST. ANNEE SCHOOL;0 0 5 25;25 - ESC. ST. ANNEE SCHOOL
0;0;5;8;COL.NAC.CERRO CORA;0 0 5  8;8 - COL.NAC.CERRO CORA
0;0;4;25;INSTIT.SUP. DE EDUCACION-ISE;0 0 4 25;25 - INSTIT.SUP. DE EDUCACION-ISE
0;0;4;27;COL. ROBERTO SHAERER;0 0 4 27;27 - COL. ROBERTO SHAERER
0;0;4;28;COL. ROBERTO L. PETIT;0 0 4 28;28 - COL. ROBERTO L. PETIT
0;0;4;31;ESC.MILCIADES PI?EIRO-EX ESC.PELLETIER;0 0 4 31;31 - ESC.MILCIADES PI?EIRO-EX ESC.PELLETIER
0;0;4;33;COL. SAN PEDRO Y SAN PABLO;0 0 4 33;33 - COL. SAN PEDRO Y SAN PABLO
0;0;5;1;COL.NAC.JUANA MARIA DE LARA;0 0 5  1;1 - COL.NAC.JUANA MARIA DE LARA
0;0;5;3;COL.PRIV. SAGRADA FAMILIA;0 0 5  3;3 - COL.PRIV. SAGRADA FAMILIA
0;0;5;4;COL.NAC.FRANCISCA ELOISA DUARTE;0 0 5  4;4 - COL.NAC.FRANCISCA ELOISA DUARTE
0;0;4;23;ESC. NAC. RCA. DE CHILE;0 0 4 23;23 - ESC. NAC. RCA. DE CHILE
0;0;1;1;COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA;0 0 1  1;1 - COL.EXPERIM.PARAGUAY BRASIL-FAC.FILOSOFIA
0;0;1;2;ESC.DE COMERCIO NRO.3 RCA.PERU;0 0 1  2;2 - ESC.DE COMERCIO NRO.3 RCA.PERU
0;0;1;3;COL.NAC. JUAN L. MALLORQUIN;0 0 1  3;3 - COL.NAC. JUAN L. MALLORQUIN
0;0;1;4;COL.NAC. SAGRADO CORAZON DE JESUS;0 0 1  4;4 - COL.NAC. SAGRADO CORAZON DE JESUS
0;0;1;5;COL.JOSE DE ANTEQUERA Y CASTRO;0 0 1  5;5 - COL.JOSE DE ANTEQUERA Y CASTRO
0;0;3;20;COLEGIO REPUBLICA DE HUNGRIA;0 0 3 20;20 - COLEGIO REPUBLICA DE HUNGRIA
0;0;3;36;COL.VIRGEN DE LOS DOLORES;0 0 3 36;36 - COL.VIRGEN DE LOS DOLORES
0;0;1;10;COL. NACIONAL JOSE BERGES;0 0 1 10;10 - COL. NACIONAL JOSE BERGES
0;0;1;12;COLEGIO NAC. RCA. DEL BRASIL;0 0 1 12;12 - COLEGIO NAC. RCA. DEL BRASIL
0;0;1;15;COLEGIO NAC. FEDERICO CHAVEZ;0 0 1 15;15 - COLEGIO NAC. FEDERICO CHAVEZ
0;0;1;17;COL. PRIV. DEL DIVINO MAESTRO;0 0 1 17;17 - COL. PRIV. DEL DIVINO MAESTRO
0;0;1;19;ESC. SUB. SAN ANTONIO PADUA;0 0 1 19;19 - ESC. SUB. SAN ANTONIO PADUA
0;0;1;22;COLEGIO CRISTO REY;0 0 1 22;22 - COLEGIO CRISTO REY
0;0;2;1;COL. NAC. PDTE. FRANCO;0 0 2  1;1 - COL. NAC. PDTE. FRANCO
0;0;3;5;COL.NAC.B. CABALLERO - C.N.C;0 0 3  5;5 - COL.NAC.B. CABALLERO - C.N.C
0;0;3;7;ESCUELA SANTA ANA;0 0 3  7;7 - ESCUELA SANTA ANA
0;0;3;9;CENTRO EDUCATIVO JESUS;0 0 3  9;9 - CENTRO EDUCATIVO JESUS
0;0;3;12;COLEGIO PERPETUO SOCORRO;0 0 3 12;12 - COLEGIO PERPETUO SOCORRO
0;0;3;14;COLEGIO NAC. VIRGEN DE FATIMA;0 0 3 14;14 - COLEGIO NAC. VIRGEN DE FATIMA
0;0;3;16;COL.SAN CAYET. DE FE Y ALEGRIA;0 0 3 16;16 - COL.SAN CAYET. DE FE Y ALEGRIA
0;0;3;19;COLEGIO PRIVADO SAN ANDRES;0 0 3 19;19 - COLEGIO PRIVADO SAN ANDRES
0;0;3;22;COLEGIO MARISCAL  LOPEZ;0 0 3 22;22 - COLEGIO MARISCAL  LOPEZ
0;0;3;24;ESC. DIFERENCIAL MAXIMO ARELLANO;0 0 3 24;24 - ESC. DIFERENCIAL MAXIMO ARELLANO
0;0;3;26;COL.PRIV. NTRA.SRA. DEL HUERTO;0 0 3 26;26 - COL.PRIV. NTRA.SRA. DEL HUERTO
0;0;3;28;COL.E.M.D.JUAN RAMON DAHLQUIST;0 0 3 28;28 - COL.E.M.D.JUAN RAMON DAHLQUIST
0;0;3;30;IGLESIA SAN VICENTE;0 0 3 30;30 - IGLESIA SAN VICENTE
0;0;3;32;COL. GENERAL SANTOS;0 0 3 32;32 - COL. GENERAL SANTOS
0;0;3;34;COL.NAC.DE COMERCIO 2;0 0 3 34;34 - COL.NAC.DE COMERCIO 2
0;0;3;41;ESC. ADELA SPERATTI;0 0 3 41;41 - ESC. ADELA SPERATTI
0;0;4;3;ESC. EUDORO CACERES;0 0 4  3;3 - ESC. EUDORO CACERES
0;0;4;5;COL. PABLO L. AVILA;0 0 4  5;5 - COL. PABLO L. AVILA
0;0;4;7;COL. POLITECNICO J. GUTENTBERG;0 0 4  7;7 - COL. POLITECNICO J. GUTENTBERG
0;0;4;9;COL. LUIS ALBERTO DE HERRERA;0 0 4  9;9 - COL. LUIS ALBERTO DE HERRERA
0;0;4;11;ESC. REPUBLICA DE BOLIVIA;0 0 4 11;11 - ESC. REPUBLICA DE BOLIVIA
0;0;4;13;COL. PRIV. GOETHE;0 0 4 13;13 - COL. PRIV. GOETHE
0;0;4;15;LICEO NAC.GRAL.PATRICIO ESCOBAR;0 0 4 15;15 - LICEO NAC.GRAL.PATRICIO ESCOBAR
0;0;4;17;CLUB GENERAL GENES;0 0 4 17;17 - CLUB GENERAL GENES
0;0;4;24;COL. EDUARDO  LOPEZ MOREIRA;0 0 4 24;24 - COL. EDUARDO  LOPEZ MOREIRA
0;0;4;26;ESC. BLAS GARAY;0 0 4 26;26 - ESC. BLAS GARAY
0;0;4;30;ESC.NAC.MANUEL ORTIZ GUERRERO;0 0 4 30;30 - ESC.NAC.MANUEL ORTIZ GUERRERO
0;0;4;32;COL. SAN  FRANCISCO;0 0 4 32;32 - COL. SAN  FRANCISCO
0;0;4;34;COL.SANTA MARIA;0 0 4 34;34 - COL.SANTA MARIA
0;0;5;2;COL.NAC.NTRA.SRA.DE LA ASUNCION;0 0 5  2;2 - COL.NAC.NTRA.SRA.DE LA ASUNCION
0;0;5;6;COL.NA.MONSE?OR JUAN S.BOGARIN-SAN BLAS;0 0 5  6;6 - COL.NA.MONSE?OR JUAN S.BOGARIN-SAN BLAS
0;0;5;7;COL.E.M.D.SANTISIMA TRINIDAD;0 0 5  7;7 - COL.E.M.D.SANTISIMA TRINIDAD
0;0;5;9;COL. NAC. EMILIO FERREIRA;0 0 5  9;9 - COL. NAC. EMILIO FERREIRA
0;0;5;12;COL.NAC.RCA. DE VENEZUELA;0 0 5 12;12 - COL.NAC.RCA. DE VENEZUELA
0;0;5;14;COL.NAC. CARLOS ANTONIO LOPEZ;0 0 5 14;14 - COL.NAC. CARLOS ANTONIO LOPEZ
0;0;5;16;ESC.RCA. ORIENTAL DEL URUGUAY;0 0 5 16;16 - ESC.RCA. ORIENTAL DEL URUGUAY
