ORD;SECC;SECCIONAL COLORADA;N°;PARROQUIA;N°;LOCAL DE VOTACION;CANT. ELECTORES
1;1;JAIME PEÑA;5;SANTISIMA TRINIDAD;8;COL.NAC.CERRO CORA;2,181
2;1;JAIME PEÑA;5;SANTISIMA TRINIDAD;16;ESC.RCA. ORIENTAL DEL URUGUAY;3,781
3;1;JAIME PEÑA;5;SANTISIMA TRINIDAD;17;ESC.NAC. PROF. SILVIA MIRANDA;1,652
4;1;JAIME PEÑA;5;SANTISIMA TRINIDAD;23;ESC.SUB. JOSE MARIA B. LASALLE;3,565
5;1;JAIME PEÑA;5;SANTISIMA TRINIDAD;27;I.N.T.N.;3,871
6;1;JAIME PEÑA;5;SANTISIMA TRINIDAD;31;ESC. GETSEMANI;527
7;2;DR. FACUNDO INSFRAN;5;SANTISIMA TRINIDAD;2;COL.NAC.NTRA.SRA.DE LA ASUNCION;4,496
8;2;DR. FACUNDO INSFRAN;5;SANTISIMA TRINIDAD;13;COL. PRIV. ALEMAN CONCORDIA;2,323
9;2;DR. FACUNDO INSFRAN;5;SANTISIMA TRINIDAD;30;ESC.260 NTRA.S. DE LA ASUNCION;3,195
10;3;DR. ANGEL FLORENTIN PENA;4;LA RECOLETA;11;ESC. REPUBLICA DE BOLIVIA;1,167
11;3;DR. ANGEL FLORENTIN PENA;4;LA RECOLETA;13;COL. PRIV. GOETHE;3,474
12;3;DR. ANGEL FLORENTIN PENA;5;SANTISIMA TRINIDAD;11;COL.NAC.VICENTE IGNACIO ITURBE;6,515
13;3;DR. ANGEL FLORENTIN PENA;5;SANTISIMA TRINIDAD;19;ESC.1ER.PTE.CONST.DEL PARAGUAY;2,889
14;3;DR. ANGEL FLORENTIN PENA;5;SANTISIMA TRINIDAD;33;COL.PRIV.SAGRADOS CORAZONES;2,048
15;3;DR. ANGEL FLORENTIN PENA;5;SANTISIMA TRINIDAD;38;SERV.NAC.DE PROMOCION PROMOCIONAL-SNPP;753
16;4;DR. EDUARDO LOPEZ MOREIRA;4;LA RECOLETA;8;COL.NAC.CAP.PEDRO J.CABALLERO;3,015
17;4;DR. EDUARDO LOPEZ MOREIRA;4;LA RECOLETA;10;COL. SUB. VILLA AURELIA;908
18;4;DR. EDUARDO LOPEZ MOREIRA;4;LA RECOLETA;21;COL. SAN MARTIN;4,703
19;5;MAYOR BONIFACIO CABALLERO;3;SAN ROQUE;19;COLEGIO PRIVADO SAN ANDRES;3,065
20;5;MAYOR BONIFACIO CABALLERO;3;SAN ROQUE;23;COLEGIO SAN PIO X;2,872
21;5;MAYOR BONIFACIO CABALLERO;3;SAN ROQUE;29;COLEGIO REPUBLICA DE CUBA;3,349
22;5;MAYOR BONIFACIO CABALLERO;3;SAN ROQUE;41;ESC. ADELA SPERATTI;1,440
23;6;FULGENCIO R. MORENO;4;LA RECOLETA;17;CLUB GENERAL GENES;2,305
24;6;FULGENCIO R. MORENO;4;LA RECOLETA;20;COL. ALVARIN ROMERO;4,796
25;6;FULGENCIO R. MORENO;4;LA RECOLETA;22;COL. NAC. RCA. DE PANAMA;4,719
26;7;DIEGO BERINO;4;LA RECOLETA;23;ESC. NAC. RCA. DE CHILE;2,276
27;7;DIEGO BERINO;4;LA RECOLETA;31;ESC.MILCIADES PIÑEIRO-EX ESC.PELLETIER;3,325
28;7;DIEGO BERINO;4;LA RECOLETA;33;COL. SAN PEDRO Y SAN PABLO;2,862
29;8;RAFAEL MEZA;4;LA RECOLETA;29;COL. VERBO DIVINO;5,536
30;8;RAFAEL MEZA;4;LA RECOLETA;30;ESC.NAC.MANUEL ORTIZ GUERRERO;4,225
31;9;DR. ANTOLIN IRALA;3;SAN ROQUE;32;COL. GENERAL SANTOS;2,717
32;9;DR. ANTOLIN IRALA;3;SAN ROQUE;40;COL.PARROQ.VIRGEN DEL CARMEN;4,171
33;10;DR. GASPAR ANTOLIANO GARCETE;3;SAN ROQUE;3;COL.PRIV.SAGR.CORAZON DE JESUS;1,824
34;10;DR. GASPAR ANTOLIANO GARCETE;3;SAN ROQUE;11;COLEGIO SAN JOSE;4,805
35;10;DR. GASPAR ANTOLIANO GARCETE;3;SAN ROQUE;18;ESCUELA REPUBLICA ARGENTINA;3,878
36;10;DR. GASPAR ANTOLIANO GARCETE;3;SAN ROQUE;33;COL. PRIV. MARIA AUXILIADORA;1,656
37;11;DR. PEDRO P. PEÑA;3;SAN ROQUE;1;COLEGIO NAC. PEDRO P. PEÑA;4,601
38;11;DR. PEDRO P. PEÑA;3;SAN ROQUE;2;COL. SUB. SAN CLEMENTE MARIA;2,003
39;11;DR. PEDRO P. PEÑA;3;SAN ROQUE;36;COL.VIRGEN DE LOS DOLORES;1,056
40;12;GRAL BERNARDINO CABALLERO;3;SAN ROQUE;8;COLEGIO STA. T. DEL NIÑO JESUS;3,928
41;12;GRAL BERNARDINO CABALLERO;3;SAN ROQUE;9;CENTRO EDUCATIVO JESUS;1,909
